기준 일자,정류소 명,정류소 번호,정류소아이디,권역,엑스좌표,위도,와이좌표,경도
2021-07-23,장수사거리,39501,165000501,남동구,177681.7238,126.748565,438616.8448,37.4494361
2021-07-23,장수사거리,39389,165000389,남동구,177656.2796,126.7482762,438656.2117,37.44979018
2021-07-23,장수주공(청소년수련원),39417,165000417,남동구,177801.0955,126.7499067,438859.6292,37.45162646
2021-07-23,장수주공(청소년수련원),39424,165000424,남동구,177851.5531,126.7504764,438875.5728,37.45177132
2021-07-23,장수초등학교,39352,165000352,남동구,177071.5074,126.741668,438643.8829,37.44966475
2021-07-23,장수초등학교,39342,165000342,남동구,177050.2768,126.7414295,438597.9463,37.44925034
2021-07-23,장수파출소,39543,165000543,남동구,177971.3913,126.7518318,438841.4627,37.45146686
2021-07-23,장수파출소,39421,165000421,남동구,178051.1114,126.7527254,439089.7257,37.45370561
2021-07-23,장수파출소,39419,165000419,남동구,178041.4932,126.7526168,439083.86,37.45365253
2021-07-23,장승마을,43200,169000200,강화군,156128.2083,126.502919,473125.2701,37.75956704
2021-07-23,장승마을,43714,169000714,강화군,156119.947,126.5028247,473133.9717,37.75964504
2021-07-23,장승백이시장,39280,165000280,남동구,176471.678,126.7349016,438256.0612,37.44615539
2021-07-23,장승백이시장,39282,165000282,남동구,176441.9976,126.7345658,438267.7653,37.44626009
2021-07-23,장안,43445,169000445,강화군,148231.7277,126.4144956,456470.2225,37.60910475
2021-07-23,장안,43418,169000418,강화군,148233.8124,126.4145175,456494.5777,37.6093243
2021-07-23,장안마을,43133,169000133,강화군,155154.4715,126.4923953,464597.2996,37.68268881
2021-07-23,장안마을,43855,169000855,강화군,155133.9456,126.4921625,464599.1132,37.68270415
2021-07-23,장안말(구초지분교)입구,90084,169001084,강화군,157287.9253,126.51697,457944.2862,37.62285088
2021-07-23,장안말(구초지분교)입구,90083,169001083,강화군,157192.0817,126.5158838,457954.3547,37.62293713
2021-07-23,장안말(구초진분교)입구,90079,169001079,강화군,158431.06,126.5298863,458507.6965,37.62797938
2021-07-23,장안말(구초진분교)입구,90078,169001078,강화군,158425.3693,126.5298206,458530.4594,37.6281842
2021-07-23,장안말(온천스파),43253,169000253,강화군,156422.3071,126.5071854,457604.2323,37.61974651
2021-07-23,장안말(온천스파),43144,169000144,강화군,156518.4226,126.5082571,457890.3764,37.62232907
2021-07-23,장안말(온천스파),43892,169000892,강화군,156510.8742,126.508172,457882.9746,37.62226203
2021-07-23,장안사거리,37295,163000295,미추홀구,168606.7514,126.6459398,440216.0942,37.46358117
2021-07-23,장안사거리,37285,163000285,미추홀구,168513.7957,126.644892,440147.8963,37.46296355
2021-07-23,장안사거리삼성래미안,15003,105000003,코드정보 없음,206336.3093,127.0725179,452700.0613,37.57657476
2021-07-23,장안사거리삼성래미안,15002,105000002,코드정보 없음,206357.6907,127.0727594,452644.7392,37.57607617
2021-07-23,장안삼거리,15001,105000001,코드정보 없음,206388.9995,127.0731184,453169.3992,37.58080307
2021-07-23,장안삼거리,15014,105000014,코드정보 없음,206359.8003,127.0727877,453150.5997,37.58063389
2021-07-23,장안촌동쪽,43933,169000933,강화군,155392,126.4950995,464409,37.68100395
2021-07-23,장암마을,90332,169001332,강화군,138327.4976,126.3014201,467282.8578,37.70590537
2021-07-23,장암마을,90324,169001324,강화군,138309.3263,126.3012133,467291.1919,37.70597923
2021-07-23,장암마을,90156,169001156,강화군,138354.1411,126.3017043,467494.0841,37.7078101
2021-07-23,장암마을,90155,169001155,강화군,138364.6081,126.3018223,467502.1355,37.70788334
2021-07-23,장애인복지관,37249,163000249,미추홀구,172514.1632,126.6901778,438294.6969,37.44639416
2021-07-23,장애인종합복지관,43627,169000627,강화군,154269.6226,126.4819877,470592.5408,37.73665798
