신우편번호,상가업소번호,상호명,지점명,상권업종대분류코드,상권업종대분류명,상권업종중분류코드,상권업종중분류명,상권업종소분류코드,상권업종소분류명,표준산업분류코드,표준산업분류명,경도,위도,업종구분
21305.0,11983681,오땡큐,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.702096760325,37.5159601526109,서비스업
21364.0,11977969,코코,,Q,음식,Q01,한식,Q01A18,황태전문,I56111,한식 음식점업,126.720547029284,37.5066285921455,외식업
21351.0,11974695,79수제치킨,,Q,음식,Q05,닭/오리요리,Q05A08,후라이드/양념치킨,I56193,치킨 전문점,126.732922963674,37.5044733877735,외식업
21359.0,11971371,해늘찹쌀순대부평점,부평점,Q,음식,Q10,별식/퓨전요리,Q10A05,순대전문점,I56111,한식 음식점업,126.724935922539,37.5012788838463,외식업
21344.0,11975388,청년다방,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.732039736475,37.5078788142897,외식업
21352.0,12039953,커피&차,,Q,음식,Q12,커피점/카페,Q12A01,커피전문점/카페/다방,I56220,비알콜 음료점업,126.732002420376,37.5040670557387,외식업
21354.0,11979208,신가네명태마을,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.722702899673,37.504894918373,외식업
21450.0,11982997,소망식당,,Q,음식,Q01,한식,Q01A01,한식/백반/한정식,I56111,한식 음식점업,126.695343564311,37.4737176108081,외식업
21305.0,11975224,착한미용실,,F,생활서비스,F01,이/미용/건강,F01A01,여성미용실,S96112,두발미용업,126.702172726006,37.516798941588,서비스업
21404.0,11970655,창조의아침미술학원,,R,학문/교육,R05,학원-음악미술무용,R05A01,서예/서화/미술,P85620,예술 학원,126.725032770482,37.4909270824335,서비스업
21363.0,11975162,아넬리,,Q,음식,Q06,양식,Q06A01,정통양식/경양식,I56114,서양식 음식점업,126.714320968114,37.504966163982,외식업
21437.0,11968681,GS25십정신동아점,십정신동아점,D,소매,D03,종합소매점,D03A01,편의점,G47122,체인화 편의점,126.704617165449,37.4748378171854,소매업
