BAS_ID,open_7cluster,open_8cluster,open_9cluster,open_10cluster,open_11cluster,open_12cluster,open_13cluster,open_14cluster,open_15cluster,open_16cluster,open_17cluster,open_18cluster,open_19cluster,open_20cluster,open_21cluster,open_22cluster,open_23cluster,open_24cluster,open_25cluster,open_26cluster,open_27cluster,open_28cluster,open_29cluster,open_30cluster,close_7cluster,close_8cluster,close_9cluster,close_10cluster,close_11cluster,close_12cluster,close_13cluster,close_14cluster,close_15cluster,close_16cluster,close_17cluster,close_18cluster,close_19cluster,close_20cluster,close_21cluster,close_22cluster,close_23cluster,close_24cluster,close_25cluster,close_26cluster,close_27cluster,close_28cluster,close_29cluster,close_30cluster
21320,2,0,0,8,8,8,8,8,3,3,1,1,1,0,10,10,10,10,10,10,10,4,4,4,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0,22.0
21321,2,0,0,8,8,8,8,8,3,3,1,1,1,0,10,10,10,10,10,10,10,4,4,4,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
21322,2,0,0,9,9,9,9,9,9,9,9,9,9,19,19,19,19,19,19,19,19,19,19,19,,,,,,,,,,,,,,,,,,,,,,,,
21323,0,5,5,5,5,5,2,0,8,8,8,8,8,3,3,3,3,3,1,0,12,12,12,12,0.0,2.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0
21324,2,0,0,8,8,8,8,8,3,3,1,1,1,0,9,9,9,9,9,9,9,9,9,9,0.0,2.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,1.0,1.0,1.0,0.0
21325,2,0,0,8,8,8,8,8,3,3,1,1,1,0,10,10,10,10,10,10,10,4,4,4,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
21326,2,0,0,8,8,8,8,8,3,3,1,1,1,0,10,10,10,10,10,10,10,4,4,4,2.0,0.0,8.0,8.0,8.0,8.0,8.0,8.0,8.0,3.0,3.0,3.0,3.0,1.0,1.0,0.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0,11.0
21327,2,0,0,8,8,8,8,8,3,3,1,1,1,0,9,9,9,9,9,9,9,9,9,9,,,,,,,,,,,,,,,,,,,,,,,,
21328,0,5,5,5,5,5,2,0,8,8,8,8,8,3,3,3,3,3,1,0,12,12,12,12,0.0,2.0,0.0,4.0,4.0,4.0,1.0,1.0,0.0,15.0,15.0,15.0,15.0,15.0,15.0,7.0,7.0,7.0,7.0,7.0,3.0,3.0,3.0,1.0
21329,0,5,5,5,5,5,2,0,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,4.0,4.0,4.0,1.0,0.0,11.0,11.0,5.0,5.0,5.0,5.0,2.0,2.0,2.0,0.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0,10.0
